name,lat,lon
Schaumburg IL,42.0333607,-88.0834059
Faribault MN,44.2949636,-93.268827
Shawnee OK,35.3272928,-96.9253004
Jefferson OR,44.7195662,-123.0103708
Reedsport OR,43.7023389,-124.0967779
Yamhill OR,45.3415301,-123.1878221
Auburn WA,47.30732279999999,-122.2284532
Steilacoom WA,47.1698197,-122.6026274
Anchorage AK,61.2180556,-149.9002778
Piru CA,34.4152743,-118.7939824
San Luis Obispo CA,35.2827524,-120.6596156
Moline IL,41.5067003,-90.5151342
Frederick MD,39.41426879999999,-77.4105409
Lebanon NJ,40.6417683,-74.83599869999999
Pittstown NJ,40.5828697,-74.95849539999999
Carson WA,45.7255968,-121.8188307
Oakville WA,46.8403765,-123.2323686
Orangevale CA,38.6785145,-121.2257818
Gunnison CO,38.5458246,-106.9253207
Ringwood NJ,41.1134289,-74.2454254
Las Vegas NV,36.1699412,-115.1398296
Corvallis OR,44.5645659,-123.2620435
Cedar Park TX,30.505198,-97.8202888
Rancho Cucamonga CA,34.10639889999999,-117.5931084
Davenport IA,41.5236437,-90.5776367
West Friendship MD,39.3048811,-76.95305979999999
Kingston NH,42.9364768,-71.0533918
Creswell OR,43.9179023,-123.0245261
Vancouver WA,45.6280277,-122.673865
Santa Rosa CA,38.440429,-122.7140548
Leadville CO,39.2508229,-106.2925238
Easton MD,38.7742826,-76.0763305
Greensboro NC,36.0726354,-79.7919754
Stokesdale NC,36.2370802,-79.979483
Grants Pass OR,42.4390069,-123.3283925
Taylor TX,30.5701906,-97.4097331
Rocky Mount MO,38.2715783,-92.71953820000002
Lacey WA,47.0358969,-122.8232553
Livermore CA,37.6818688,-121.7684732
Montrose CO,38.4783198,-107.8761738
Foxboro MA,42.0653812,-71.2478251
Huntington MA,42.2335218,-72.8796017
Lakeville MN,44.6496868,-93.24272
Stanhope NJ,40.9028765,-74.7090517
Centralia WA,46.7162136,-122.9542972
Ninilchik AK,60.05138890000001,-151.6688889
Meeker CO,40.03747329999999,-107.9131299
Bellingham WA,48.7519112,-122.4786854
Geneva IL,41.8926437,-88.3287896
